null_pct,mode,strategy,event,asset,method,final_return_pct,bah_pct,delta_pct,alarm_rate,days_in_market,n_endpoints,start_date,end_date,first_alarm,lead_days
1.0,far0.10,persist,COVID-19,USOIL,IF,-22.152487,-78.921289,56.768802,0.027397,0.965517,146,2020-01-16,2020-08-13,2020-04-16,-39.0
0.5,far0.10,defensive,COVID-19,USOIL,OCS,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.10,first_alarm,COVID-19,USOIL,OCS,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.10,persist,COVID-19,USOIL,OCS,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.7225,far0.10,defensive,COVID-19,USOIL,DSV,-70.609631,-78.921289,8.311657,0.335616,0.662069,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.5175,far0.10,first_alarm,COVID-19,USOIL,DSV,-0.307588,-78.921289,78.613701,0.335616,0.013793,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.7425,far0.10,persist,COVID-19,USOIL,DSV,-59.309005,-78.921289,19.612284,0.335616,0.627586,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.0,far0.10,defensive,COVID-19,USOIL,DAG,-85.735435,-78.921289,-6.814147,0.082192,0.917241,146,2020-01-16,2020-08-13,2020-04-22,-43.0
0.0225,far0.10,first_alarm,COVID-19,USOIL,DAG,-93.12347,-78.921289,-14.202181,0.082192,0.455172,146,2020-01-16,2020-08-13,2020-04-22,-43.0
0.0,far0.10,persist,COVID-19,USOIL,DAG,-87.607749,-78.921289,-8.686461,0.082192,0.868966,146,2020-01-16,2020-08-13,2020-04-22,-43.0
1.0,far0.10,defensive,COVID-19,USOIL,OMNI,-15.717105,-78.921289,63.204183,0.287671,0.710345,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.4625,far0.10,first_alarm,COVID-19,USOIL,OMNI,-0.307588,-78.921289,78.613701,0.287671,0.013793,146,2020-01-16,2020-08-13,2020-01-21,21.0
1.0,far0.10,persist,COVID-19,USOIL,OMNI,1.920957,-78.921289,80.842245,0.287671,0.62069,146,2020-01-16,2020-08-13,2020-01-21,21.0
1.0,far0.10,defensive,COVID-19,USOIL,USAD,-71.496236,-78.921289,7.425053,0.013699,0.986207,146,2020-01-16,2020-08-13,2020-01-24,18.0
0.2925,far0.10,first_alarm,COVID-19,USOIL,USAD,-7.399183,-78.921289,71.522106,0.013699,0.034483,146,2020-01-16,2020-08-13,2020-01-24,18.0
0.5,far0.10,persist,COVID-19,USOIL,USAD,-78.921289,-78.921289,0.0,0.013699,1.0,146,2020-01-16,2020-08-13,2020-01-24,18.0
0.435,far0.10,defensive,COVID-19,USOIL,TR,-0.775196,-78.921289,78.146092,0.952055,0.048276,146,2020-01-16,2020-08-13,2020-01-16,23.0
0.5,far0.10,first_alarm,COVID-19,USOIL,TR,0.0,-78.921289,78.921289,0.952055,0.0,146,2020-01-16,2020-08-13,2020-01-16,23.0
0.2825,far0.10,persist,COVID-19,USOIL,TR,-3.047677,-78.921289,75.873611,0.952055,0.034483,146,2020-01-16,2020-08-13,2020-01-16,23.0
0.0,far0.10,defensive,COVID-19,USOIL,AT,-85.177557,-78.921289,-6.256269,0.061644,0.937931,146,2020-01-16,2020-08-13,2020-05-07,-54.0
0.0,far0.10,first_alarm,COVID-19,USOIL,AT,-88.24802,-78.921289,-9.326732,0.061644,0.531034,146,2020-01-16,2020-08-13,2020-05-07,-54.0
0.0,far0.10,persist,COVID-19,USOIL,AT,-84.105843,-78.921289,-5.184554,0.061644,0.917241,146,2020-01-16,2020-08-13,2020-05-07,-54.0
0.5,far0.10,defensive,COVID-19,USOIL,EXP,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.10,first_alarm,COVID-19,USOIL,EXP,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
0.5,far0.10,persist,COVID-19,USOIL,EXP,-78.921289,-78.921289,0.0,0.0,1.0,146,2020-01-16,2020-08-13,,
1.0,far0.10,defensive,COVID-19,USOIL,ENST,-78.164759,-78.921289,0.756529,0.020548,0.97931,146,2020-01-16,2020-08-13,2020-04-15,-38.0
0.43,far0.10,first_alarm,COVID-19,USOIL,ENST,-66.045795,-78.921289,12.875493,0.020548,0.42069,146,2020-01-16,2020-08-13,2020-04-15,-38.0
1.0,far0.10,persist,COVID-19,USOIL,ENST,-13.077232,-78.921289,65.844056,0.020548,0.965517,146,2020-01-16,2020-08-13,2020-04-15,-38.0
1.0,far0.20,defensive,COVID-19,USOIL,IF,-72.02354,-78.921289,6.897748,0.136986,0.862069,146,2020-01-16,2020-08-13,2020-04-13,-36.0
0.4275,far0.20,first_alarm,COVID-19,USOIL,IF,-61.7054,-78.921289,17.215888,0.136986,0.406897,146,2020-01-16,2020-08-13,2020-04-13,-36.0
1.0,far0.20,persist,COVID-19,USOIL,IF,-51.447956,-78.921289,27.473333,0.136986,0.834483,146,2020-01-16,2020-08-13,2020-04-13,-36.0
0.545,far0.20,defensive,COVID-19,USOIL,OCS,-78.272662,-78.921289,0.648627,0.027397,0.972414,146,2020-01-16,2020-08-13,2020-04-14,-37.0
0.4075,far0.20,first_alarm,COVID-19,USOIL,OCS,-65.635679,-78.921289,13.285609,0.027397,0.413793,146,2020-01-16,2020-08-13,2020-04-14,-37.0
1.0,far0.20,persist,COVID-19,USOIL,OCS,-13.077232,-78.921289,65.844056,0.027397,0.958621,146,2020-01-16,2020-08-13,2020-04-14,-37.0
0.625,far0.20,defensive,COVID-19,USOIL,DSV,-70.146416,-78.921289,8.774872,0.390411,0.613793,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.4875,far0.20,first_alarm,COVID-19,USOIL,DSV,-0.307588,-78.921289,78.613701,0.390411,0.013793,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.63,far0.20,persist,COVID-19,USOIL,DSV,-62.050811,-78.921289,16.870477,0.390411,0.565517,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.0,far0.20,defensive,COVID-19,USOIL,DAG,-89.534835,-78.921289,-10.613546,0.219178,0.77931,146,2020-01-16,2020-08-13,2020-03-11,-14.0
0.5725,far0.20,first_alarm,COVID-19,USOIL,DAG,-43.6432,-78.921289,35.278088,0.219178,0.255172,146,2020-01-16,2020-08-13,2020-03-11,-14.0
0.94,far0.20,persist,COVID-19,USOIL,DAG,-59.152424,-78.921289,19.768865,0.219178,0.717241,146,2020-01-16,2020-08-13,2020-03-11,-14.0
0.9875,far0.20,defensive,COVID-19,USOIL,OMNI,-37.994828,-78.921289,40.92646,0.349315,0.648276,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.48,far0.20,first_alarm,COVID-19,USOIL,OMNI,-0.307588,-78.921289,78.613701,0.349315,0.013793,146,2020-01-16,2020-08-13,2020-01-21,21.0
1.0,far0.20,persist,COVID-19,USOIL,OMNI,-6.776065,-78.921289,72.145223,0.349315,0.6,146,2020-01-16,2020-08-13,2020-01-21,21.0
1.0,far0.20,defensive,COVID-19,USOIL,USAD,-71.200992,-78.921289,7.720296,0.075342,0.924138,146,2020-01-16,2020-08-13,2020-01-23,19.0
0.315,far0.20,first_alarm,COVID-19,USOIL,USAD,-5.006836,-78.921289,73.914453,0.075342,0.027586,146,2020-01-16,2020-08-13,2020-01-23,19.0
0.5625,far0.20,persist,COVID-19,USOIL,USAD,-77.152931,-78.921289,1.768357,0.075342,0.875862,146,2020-01-16,2020-08-13,2020-01-23,19.0
0.4525,far0.20,defensive,COVID-19,USOIL,TR,-0.775196,-78.921289,78.146092,0.952055,0.048276,146,2020-01-16,2020-08-13,2020-01-16,23.0
0.5,far0.20,first_alarm,COVID-19,USOIL,TR,0.0,-78.921289,78.921289,0.952055,0.0,146,2020-01-16,2020-08-13,2020-01-16,23.0
0.3425,far0.20,persist,COVID-19,USOIL,TR,-3.047677,-78.921289,75.873611,0.952055,0.034483,146,2020-01-16,2020-08-13,2020-01-16,23.0
0.0,far0.20,defensive,COVID-19,USOIL,AT,-90.70075,-78.921289,-11.779462,0.123288,0.875862,146,2020-01-16,2020-08-13,2020-04-23,-44.0
0.0275,far0.20,first_alarm,COVID-19,USOIL,AT,-91.766129,-78.921289,-12.84484,0.123288,0.462069,146,2020-01-16,2020-08-13,2020-04-23,-44.0
0.0,far0.20,persist,COVID-19,USOIL,AT,-88.810287,-78.921289,-9.888999,0.123288,0.862069,146,2020-01-16,2020-08-13,2020-04-23,-44.0
0.0,far0.20,defensive,COVID-19,USOIL,EXP,-79.386862,-78.921289,-0.465573,0.006849,0.993103,146,2020-01-16,2020-08-13,2020-07-14,-100.0
0.0,far0.20,first_alarm,COVID-19,USOIL,EXP,-79.894383,-78.921289,-0.973094,0.006849,0.848276,146,2020-01-16,2020-08-13,2020-07-14,-100.0
0.5,far0.20,persist,COVID-19,USOIL,EXP,-78.921289,-78.921289,0.0,0.006849,1.0,146,2020-01-16,2020-08-13,2020-07-14,-100.0
1.0,far0.20,defensive,COVID-19,USOIL,ENST,-68.053766,-78.921289,10.867522,0.136986,0.862069,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.445,far0.20,first_alarm,COVID-19,USOIL,ENST,-0.307588,-78.921289,78.613701,0.136986,0.013793,146,2020-01-16,2020-08-13,2020-01-21,21.0
1.0,far0.20,persist,COVID-19,USOIL,ENST,-45.895014,-78.921289,33.026275,0.136986,0.827586,146,2020-01-16,2020-08-13,2020-01-21,21.0
0.0,as reported,defensive,COVID-19,GOLD,IF,21.041666,26.320203,-5.278537,0.047945,0.951724,146,2020-01-16,2020-08-13,2020-02-21,-1.0
0.7225,as reported,first_alarm,COVID-19,GOLD,IF,6.171722,26.320203,-20.148481,0.047945,0.165517,146,2020-01-16,2020-08-13,2020-02-21,-1.0
0.825,as reported,persist,COVID-19,GOLD,IF,28.705927,26.320203,2.385723,0.047945,0.917241,146,2020-01-16,2020-08-13,2020-02-21,-1.0
0.0,as reported,defensive,COVID-19,GOLD,OCS,12.148429,26.320203,-14.171774,0.212329,0.786207,146,2020-01-16,2020-08-13,2020-02-24,-2.0
0.7875,as reported,first_alarm,COVID-19,GOLD,OCS,7.966432,26.320203,-18.353772,0.212329,0.172414,146,2020-01-16,2020-08-13,2020-02-24,-2.0
0.76,as reported,persist,COVID-19,GOLD,OCS,20.338085,26.320203,-5.982118,0.212329,0.724138,146,2020-01-16,2020-08-13,2020-02-24,-2.0
0.75,as reported,defensive,COVID-19,GOLD,DSV,17.658315,26.320203,-8.661888,0.376712,0.62069,146,2020-01-16,2020-08-13,2020-02-13,4.0
0.3525,as reported,first_alarm,COVID-19,GOLD,DSV,1.684956,26.320203,-24.635247,0.376712,0.131034,146,2020-01-16,2020-08-13,2020-02-13,4.0
