arm,epochs,mapping,held_out,seed,auc,n_test,prevalence
classifier,10,arccosh,Russia-Ukraine,1,0.5673802129547472,380,0.5157894736842106
classifier,10,arccosh,Russia-Ukraine,2,0.5344387755102041,380,0.5157894736842106
classifier,10,arccosh,Chinese,0,0.48054855298981547,446,0.4730941704035874
classifier,10,arccosh,Chinese,1,0.4729857819905213,446,0.4730941704035874
classifier,10,arccosh,Chinese,2,0.48232328325098317,446,0.4730941704035874
classifier,10,arccosh,Iran 2025,0,0.5250020869855581,319,0.3793103448275862
classifier,10,arccosh,Iran 2025,1,0.554386843643042,319,0.3793103448275862
classifier,10,arccosh,Iran 2025,2,0.5015443693129643,319,0.3793103448275862
classifier,10,exponential,COVID-19,0,0.6453530844155844,444,0.4954954954954955
classifier,10,exponential,COVID-19,1,0.6387784090909091,444,0.4954954954954955
classifier,10,exponential,COVID-19,2,0.6389204545454545,444,0.4954954954954955
classifier,10,exponential,Russia-Ukraine,0,0.6549744897959183,380,0.5157894736842106
classifier,10,exponential,Russia-Ukraine,1,0.6532830523513753,380,0.5157894736842106
classifier,10,exponential,Russia-Ukraine,2,0.6580246228926353,380,0.5157894736842106
classifier,10,exponential,Chinese,0,0.47738227286477763,446,0.4730941704035874
classifier,10,exponential,Chinese,1,0.48450136129877985,446,0.4730941704035874
classifier,10,exponential,Chinese,2,0.487324795805183,446,0.4730941704035874
classifier,10,exponential,Iran 2025,0,0.6271808999081726,319,0.3793103448275862
classifier,10,exponential,Iran 2025,1,0.6399949912346606,319,0.3793103448275862
classifier,10,exponential,Iran 2025,2,0.6258452291510143,319,0.3793103448275862
classifier,20,cosine,COVID-19,0,0.5927150974025974,444,0.4954954954954955
classifier,20,cosine,COVID-19,1,0.5862621753246753,444,0.4954954954954955
classifier,20,cosine,COVID-19,2,0.5789569805194805,444,0.4954954954954955
classifier,20,cosine,Russia-Ukraine,0,0.601929902395741,380,0.5157894736842106
classifier,20,cosine,Russia-Ukraine,1,0.596023735581189,380,0.5157894736842106
classifier,20,cosine,Russia-Ukraine,2,0.5970774179236912,380,0.5157894736842106
classifier,20,cosine,Chinese,0,0.6116365836442472,446,0.4730941704035874
classifier,20,cosine,Chinese,1,0.6157305636785319,446,0.4730941704035874
classifier,20,cosine,Chinese,2,0.6277301603307451,446,0.4730941704035874
classifier,20,cosine,Iran 2025,0,0.5606060606060606,319,0.3793103448275862
classifier,20,cosine,Iran 2025,1,0.5673261541030136,319,0.3793103448275862
classifier,20,cosine,Iran 2025,2,0.5974622255613992,319,0.3793103448275862
classifier,20,arctan,COVID-19,0,0.5480113636363636,444,0.4954954954954955
classifier,20,arctan,COVID-19,1,0.5190340909090909,444,0.4954954954954955
classifier,20,arctan,COVID-19,2,0.5355925324675325,444,0.4954954954954955
classifier,20,arctan,Russia-Ukraine,0,0.3928848713398403,380,0.5157894736842106
classifier,20,arctan,Russia-Ukraine,1,0.4386368677905945,380,0.5157894736842106
classifier,20,arctan,Russia-Ukraine,2,0.41903283052351376,380,0.5157894736842106
classifier,20,arctan,Chinese,0,0.598568115357467,446,0.4730941704035874
classifier,20,arctan,Chinese,1,0.4894222042956539,446,0.4730941704035874
classifier,20,arctan,Chinese,2,0.5852576383987093,446,0.4730941704035874
classifier,20,arctan,Iran 2025,0,0.4825528007346189,319,0.3793103448275862
classifier,20,arctan,Iran 2025,1,0.512396694214876,319,0.3793103448275862
classifier,20,arctan,Iran 2025,2,0.46518908089156025,319,0.3793103448275862
classifier,20,arccosh,COVID-19,0,0.5145292207792208,444,0.4954954954954955
classifier,20,arccosh,COVID-19,1,0.514265422077922,444,0.4954954954954955
classifier,20,arccosh,COVID-19,2,0.4831371753246753,444,0.4954954954954955
classifier,20,arccosh,Russia-Ukraine,0,0.5371284383318545,380,0.5157894736842106
classifier,20,arccosh,Russia-Ukraine,1,0.5883152173913043,380,0.5157894736842106
classifier,20,arccosh,Russia-Ukraine,2,0.5651342058562555,380,0.5157894736842106
classifier,20,arccosh,Chinese,0,0.5266915397801755,446,0.4730941704035874
classifier,20,arccosh,Chinese,1,0.512271856408188,446,0.4730941704035874
classifier,20,arccosh,Chinese,2,0.519471614399516,446,0.4730941704035874
classifier,20,arccosh,Iran 2025,0,0.4186075632356624,319,0.3793103448275862
classifier,20,arccosh,Iran 2025,1,0.4883546205860255,319,0.3793103448275862
classifier,20,arccosh,Iran 2025,2,0.44077134986225897,319,0.3793103448275862
classifier,20,exponential,COVID-19,0,0.6367897727272728,444,0.4954954954954955
classifier,20,exponential,COVID-19,1,0.6255681818181819,444,0.4954954954954955
classifier,20,exponential,COVID-19,2,0.6357954545454545,444,0.4954954954954955
classifier,20,exponential,Russia-Ukraine,0,0.6739407719609583,380,0.5157894736842106
classifier,20,exponential,Russia-Ukraine,1,0.6672859361135759,380,0.5157894736842106
classifier,20,exponential,Russia-Ukraine,2,0.6793478260869565,380,0.5157894736842106
classifier,20,exponential,Chinese,0,0.4753050317636382,446,0.4730941704035874
classifier,20,exponential,Chinese,1,0.4803670464858324,446,0.4730941704035874
classifier,20,exponential,Chinese,2,0.4879096500957951,446,0.4730941704035874
classifier,20,exponential,Iran 2025,0,0.6250939143501127,319,0.3793103448275862
classifier,20,exponential,Iran 2025,1,0.6401202103681443,319,0.3793103448275862
classifier,20,exponential,Iran 2025,2,0.6265548042407546,319,0.3793103448275862
