lambda_gp,variant,mapping,held_out,seed,auc,prauc,d_loss_final,contrast,n_test,prevalence,epochs
2.0,compact,arccosh,Iran 2025,2,0.4209867267718507,0.3266156448318338,-6.680774688720703,0.4212016788444013,319,0.3793103448275862,20
2.0,compact,exponential,COVID-19,0,0.6997362012987013,0.7264224966006763,-18.44720458984375,0.626121157832383,444,0.4954954954954955,20
2.0,compact,exponential,COVID-19,1,0.6602678571428572,0.6730712089400147,-15.43980598449707,0.626121157832383,444,0.4954954954954955,20
2.0,compact,exponential,COVID-19,2,0.6767857142857143,0.6883990558028099,-17.087541580200195,0.626121157832383,444,0.4954954954954955,20
2.0,compact,exponential,Russia-Ukraine,0,0.5727872670807453,0.6406914339769688,-18.414512634277344,0.626121157832383,380,0.5157894736842106,20
2.0,compact,exponential,Russia-Ukraine,1,0.5812721827861579,0.6134248441212651,-15.068751335144045,0.626121157832383,380,0.5157894736842106,20
2.0,compact,exponential,Russia-Ukraine,2,0.5576197870452528,0.5899121974412994,-14.61680030822754,0.626121157832383,380,0.5157894736842106,20
2.0,compact,exponential,Chinese,0,0.4080871231219118,0.4527800204867922,-22.324085235595703,0.626121157832383,446,0.4730941704035874,20
2.0,compact,exponential,Chinese,1,0.3946959766058284,0.4273839461568908,-15.58306884765625,0.626121157832383,446,0.4730941704035874,20
2.0,compact,exponential,Chinese,2,0.4007663607945951,0.4500021335635261,-19.08739471435547,0.626121157832383,446,0.4730941704035874,20
2.0,compact,exponential,Iran 2025,0,0.5451623674764171,0.5025960812969293,-21.219093322753903,0.626121157832383,319,0.3793103448275862,20
2.0,compact,exponential,Iran 2025,1,0.5423240671174555,0.4696885945648308,-16.681209564208984,0.626121157832383,319,0.3793103448275862,20
2.0,compact,exponential,Iran 2025,2,0.5441606144085482,0.4895055999469447,-16.173982620239258,0.626121157832383,319,0.3793103448275862,20
10.0,compact,cosine,COVID-19,0,0.7161525974025974,0.7611091016417013,-14.172085762023926,0.4638431514712628,444,0.4954954954954955,20
10.0,compact,cosine,COVID-19,1,0.7127435064935065,0.7399180103514599,-8.512886047363281,0.4638431514712628,444,0.4954954954954955,20
10.0,compact,cosine,COVID-19,2,0.7200081168831168,0.7574985559935308,-11.055915832519531,0.4638431514712628,444,0.4954954954954955,20
10.0,compact,cosine,Russia-Ukraine,0,0.5453637976929903,0.5956118082531443,-11.538835525512695,0.4638431514712628,380,0.5157894736842106,20
10.0,compact,cosine,Russia-Ukraine,1,0.5458906388642414,0.5994031398558287,-8.002311706542969,0.4638431514712628,380,0.5157894736842106,20
10.0,compact,cosine,Russia-Ukraine,2,0.5583129991126885,0.6251017879682942,-9.617813110351562,0.4638431514712628,380,0.5157894736842106,20
10.0,compact,cosine,Chinese,0,0.4267419582535041,0.4141282373157585,-13.689825057983398,0.4638431514712628,446,0.4730941704035874,20
10.0,compact,cosine,Chinese,1,0.4462438237370172,0.4459239104899349,-8.624614715576172,0.4638431514712628,446,0.4730941704035874,20
10.0,compact,cosine,Chinese,2,0.4466068367449833,0.4295363631557915,-10.932467460632324,0.4638431514712628,446,0.4730941704035874,20
10.0,compact,cosine,Iran 2025,0,0.4627681776442107,0.3802245220844992,-12.021153450012209,0.4638431514712628,319,0.3793103448275862,20
10.0,compact,cosine,Iran 2025,1,0.4389765422823274,0.3346702684870584,-8.02148151397705,0.4638431514712628,319,0.3793103448275862,20
10.0,compact,cosine,Iran 2025,2,0.4387261040153602,0.3610436847214989,-10.09200954437256,0.4638431514712628,319,0.3793103448275862,20
10.0,compact,arctan,COVID-19,0,0.6874188311688312,0.6732986494273359,-10.254209518432615,0.2435032908331336,444,0.4954954954954955,20
10.0,compact,arctan,COVID-19,1,0.5190340909090909,0.5890853990630226,-13.513822555541992,0.2435032908331336,444,0.4954954954954955,20
10.0,compact,arctan,COVID-19,2,0.558502435064935,0.5434289421567301,-10.139104843139648,0.2435032908331336,444,0.4954954954954955,20
10.0,compact,arctan,Russia-Ukraine,0,0.6647903726708074,0.6685882333838435,-8.596976280212402,0.2435032908331336,380,0.5157894736842106,20
10.0,compact,arctan,Russia-Ukraine,1,0.587122892635315,0.5822515301617616,-12.589513778686523,0.2435032908331336,380,0.5157894736842106,20
10.0,compact,arctan,Russia-Ukraine,2,0.5308895297249334,0.5370571722849046,-8.57361888885498,0.2435032908331336,380,0.5157894736842106,20
10.0,compact,arctan,Chinese,0,0.4997277402440254,0.5165704306353287,-10.527482986450195,0.2435032908331336,446,0.4730941704035874,20
10.0,compact,arctan,Chinese,1,0.4381163658364425,0.45567569624414944,-13.273971557617188,0.2435032908331336,446,0.4730941704035874,20
10.0,compact,arctan,Chinese,2,0.5405465362508823,0.5880501686155007,-10.273848533630371,0.2435032908331336,446,0.4730941704035874,20
10.0,compact,arctan,Iran 2025,0,0.4834293346690041,0.4096865976385361,-9.028081893920898,0.2435032908331336,319,0.3793103448275862,20
10.0,compact,arctan,Iran 2025,1,0.526671675432006,0.4445756832382161,-12.168128967285156,0.2435032908331336,319,0.3793103448275862,20
10.0,compact,arctan,Iran 2025,2,0.49691126137407127,0.4046847277920935,-8.788345336914062,0.2435032908331336,319,0.3793103448275862,20
10.0,compact,arccosh,COVID-19,0,0.7887175324675325,0.8124444102499077,-6.609709739685059,0.42120167884440135,444,0.4954954954954955,20
10.0,compact,arccosh,COVID-19,1,0.7350040584415585,0.7220384999914637,-6.3111114501953125,0.42120167884440135,444,0.4954954954954955,20
10.0,compact,arccosh,COVID-19,2,0.761525974025974,0.7774782193492952,-6.888197898864746,0.42120167884440135,444,0.4954954954954955,20
10.0,compact,arccosh,Russia-Ukraine,0,0.5315550133096717,0.5713911908655351,-5.953635215759277,0.42120167884440135,380,0.5157894736842106,20
10.0,compact,arccosh,Russia-Ukraine,1,0.5644964507542147,0.5812881470213267,-6.043218612670898,0.42120167884440135,380,0.5157894736842106,20
10.0,compact,arccosh,Russia-Ukraine,2,0.5514086069210293,0.5719595368872978,-5.950305461883545,0.42120167884440135,380,0.5157894736842106,20
10.0,compact,arccosh,Chinese,0,0.4878693153171322,0.4765646104952314,-6.348598003387451,0.42120167884440135,446,0.4730941704035874,20
10.0,compact,arccosh,Chinese,1,0.4006655238479379,0.4444633046737393,-6.401641368865967,0.42120167884440135,446,0.4730941704035874,20
10.0,compact,arccosh,Chinese,2,0.4458808107290511,0.4648262656518539,-6.97265100479126,0.42120167884440135,446,0.4730941704035874,20
10.0,compact,arccosh,Iran 2025,0,0.4231571917522331,0.33381363718291146,-6.614040851593018,0.42120167884440135,319,0.3793103448275862,20
10.0,compact,arccosh,Iran 2025,1,0.4360965022122047,0.33154086648609044,-6.644639015197754,0.42120167884440135,319,0.3793103448275862,20
10.0,compact,arccosh,Iran 2025,2,0.43797478921445865,0.3399160413860878,-6.083983421325684,0.42120167884440135,319,0.3793103448275862,20
10.0,compact,exponential,COVID-19,0,0.6888392857142858,0.7197900552283977,-11.381134033203125,0.626121157832383,444,0.4954954954954955,20
10.0,compact,exponential,COVID-19,1,0.6529829545454545,0.6674376707093147,-9.784313201904297,0.626121157832383,444,0.4954954954954955,20
10.0,compact,exponential,COVID-19,2,0.6719866071428572,0.6719102139726721,-10.328909873962402,0.626121157832383,444,0.4954954954954955,20
10.0,compact,exponential,Russia-Ukraine,0,0.5641637089618456,0.6247031034472871,-11.133468627929688,0.626121157832383,380,0.5157894736842106,20
10.0,compact,exponential,Russia-Ukraine,1,0.5776674800354925,0.6127676985274912,-10.114334106445312,0.626121157832383,380,0.5157894736842106,20
10.0,compact,exponential,Russia-Ukraine,2,0.5549578527062999,0.5810262366574571,-9.448108673095703,0.626121157832383,380,0.5157894736842106,20
10.0,compact,exponential,Chinese,0,0.3958051830190582,0.4383850320867979,-12.903352737426758,0.626121157832383,446,0.4730941704035874,20
10.0,compact,exponential,Chinese,1,0.392578400726026,0.4227317084260418,-9.841170310974121,0.626121157832383,446,0.4730941704035874,20
10.0,compact,exponential,Chinese,2,0.3952001613391147,0.4580298080204399,-11.087958335876465,0.626121157832383,446,0.4730941704035874,20
10.0,compact,exponential,Iran 2025,0,0.5418649302946824,0.49719505323274193,-12.351522445678711,0.626121157832383,319,0.3793103448275862,20
10.0,compact,exponential,Iran 2025,1,0.5414475331830704,0.46921445400222356,-10.604350090026855,0.626121157832383,319,0.3793103448275862,20
10.0,compact,exponential,Iran 2025,2,0.5447867100759662,0.4837655851487502,-10.255592346191406,0.626121157832383,319,0.3793103448275862,20
