episode,asset,method,mapping,n_windows,n_positive,n_negative,prevalence,auc,pr_auc,pr_auc_random,rank_metrics_valid,shipped_TP,shipped_FP,shipped_FN,shipped_TN,shipped_precision,shipped_recall,shipped_f1,shipped_balanced_acc,shipped_accuracy,shipped_fpr,far_tau,far_control,matched_TP,matched_FP,matched_FN,matched_TN,matched_precision,matched_recall,matched_f1,matched_balanced_acc,matched_accuracy,matched_fpr
Iran 2025,EURUSD,usad,exponential,107,41,66,0.3832,0.2857,0.2823,0.3832,True,0,27,41,39,0.0,0.0,,0.2955,0.3645,0.4091,1.5211,0.0985,0.0,17.0,41.0,49.0,0.0,0.0,,0.3712,0.4579,0.2576
Iran 2025,USOIL,vae,exponential,106,40,66,0.3774,0.7746,0.7357,0.3774,True,24,5,16,61,0.8276,0.6,0.6957,0.7621,0.8019,0.0758,0.6237,0.0938,4.0,1.0,36.0,65.0,0.8,0.1,0.1778,0.5424,0.6509,0.0152
Iran 2025,GOLD,vae,exponential,106,40,66,0.3774,0.5246,0.4021,0.3774,True,2,3,38,63,0.4,0.05,0.0889,0.5023,0.6132,0.0455,,,,,,,,,,,,
Iran 2025,EURUSD,vae,exponential,107,41,66,0.3832,0.3441,0.3326,0.3832,True,2,3,39,63,0.4,0.0488,0.087,0.5017,0.6075,0.0455,,,,,,,,,,,,
Iran 2026,USOIL,anomaly_transformer,exponential,37,18,19,0.4865,0.617,0.534,0.4865,False,18,19,0,0,0.4865,1.0,0.6545,0.5,0.4865,1.0,0.011,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,GOLD,anomaly_transformer,exponential,37,18,19,0.4865,0.3129,0.3946,0.4865,False,18,19,0,0,0.4865,1.0,0.6545,0.5,0.4865,1.0,0.0016,0.0938,18.0,19.0,0.0,0.0,0.4865,1.0,0.6545,0.5,0.4865,1.0
Iran 2026,EURUSD,anomaly_transformer,exponential,41,20,21,0.4878,0.1524,0.3388,0.4878,False,20,21,0,0,0.4878,1.0,0.6557,0.5,0.4878,1.0,0.0033,0.0985,19.0,21.0,1.0,0.0,0.475,0.95,0.6333,0.475,0.4634,1.0
Iran 2026,USOIL,autoencoder,exponential,37,18,19,0.4865,0.0,0.3098,0.4865,False,0,17,18,2,0.0,0.0,,0.0526,0.0541,0.8947,0.3026,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,GOLD,autoencoder,exponential,37,18,19,0.4865,0.038,0.3152,0.4865,False,0,3,18,16,0.0,0.0,,0.4211,0.4324,0.1579,,,,,,,,,,,,
Iran 2026,EURUSD,autoencoder,exponential,41,20,21,0.4878,0.0762,0.3216,0.4878,False,0,6,20,15,0.0,0.0,,0.3571,0.3659,0.2857,,,,,,,,,,,,
Iran 2026,USOIL,cnn_autoencoder,exponential,37,18,19,0.4865,0.0,0.3098,0.4865,False,0,0,18,19,,0.0,,0.5,0.5135,0.0,0.0295,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,GOLD,cnn_autoencoder,exponential,37,18,19,0.4865,0.0556,0.3181,0.4865,False,0,0,18,19,,0.0,,0.5,0.5135,0.0,,,,,,,,,,,,
Iran 2026,EURUSD,cnn_autoencoder,exponential,41,20,21,0.4878,0.0262,0.3125,0.4878,False,0,0,20,21,,0.0,,0.5,0.5122,0.0,,,,,,,,,,,,
Iran 2026,USOIL,dagmm,exponential,37,18,19,0.4865,0.5292,0.6045,0.4865,False,0,0,18,19,,0.0,,0.5,0.5135,0.0,10.8457,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,GOLD,dagmm,exponential,37,18,19,0.4865,0.3012,0.4256,0.4865,False,1,0,17,19,1.0,0.0556,0.1053,0.5278,0.5405,0.0,2.6027,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,EURUSD,dagmm,exponential,41,20,21,0.4878,0.3929,0.4171,0.4878,False,0,1,20,20,0.0,0.0,,0.4762,0.4878,0.0476,1.7849,0.0985,0.0,0.0,20.0,21.0,,0.0,,0.5,0.5122,0.0
Iran 2026,USOIL,deep_svdd,exponential,37,18,19,0.4865,0.0234,0.312,0.4865,False,2,18,16,1,0.1,0.1111,0.1053,0.0819,0.0811,0.9474,0.001,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,GOLD,deep_svdd,exponential,37,18,19,0.4865,0.1316,0.3317,0.4865,False,7,17,11,2,0.2917,0.3889,0.3333,0.2471,0.2432,0.8947,0.0008,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,EURUSD,deep_svdd,exponential,41,20,21,0.4878,0.1524,0.3379,0.4878,False,7,18,13,3,0.28,0.35,0.3111,0.2464,0.2439,0.8571,0.0005,0.0985,0.0,0.0,20.0,21.0,,0.0,,0.5,0.5122,0.0
Iran 2026,USOIL,hybrid2,arccosh,37,18,19,0.4865,0.0351,0.3135,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,0.0452,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,GOLD,hybrid2,arccosh,37,18,19,0.4865,0.3772,0.465,0.4865,False,2,1,16,18,0.6667,0.1111,0.1905,0.5292,0.5405,0.0526,0.1531,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,EURUSD,hybrid2,arccosh,41,20,21,0.4878,0.2524,0.3688,0.4878,False,0,4,20,17,0.0,0.0,,0.4048,0.4146,0.1905,0.024,0.0985,0.0,0.0,20.0,21.0,,0.0,,0.5,0.5122,0.0
Iran 2026,USOIL,hybrid2,arctan,37,18,19,0.4865,0.0292,0.3126,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,0.0148,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,GOLD,hybrid2,arctan,37,18,19,0.4865,0.2895,0.3786,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,0.0144,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,EURUSD,hybrid2,arctan,41,20,21,0.4878,0.5095,0.5155,0.4878,False,1,4,19,17,0.2,0.05,0.08,0.4298,0.439,0.1905,0.0104,0.0985,1.0,4.0,19.0,17.0,0.2,0.05,0.08,0.4298,0.439,0.1905
Iran 2026,USOIL,hybrid2,cosine,37,18,19,0.4865,0.0,0.3098,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,0.131,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,GOLD,hybrid2,cosine,37,18,19,0.4865,0.3041,0.4538,0.4865,False,0,1,18,18,0.0,0.0,,0.4737,0.4865,0.0526,0.1673,0.0938,0.0,0.0,18.0,19.0,,0.0,,0.5,0.5135,0.0
Iran 2026,EURUSD,hybrid2,cosine,41,20,21,0.4878,0.2071,0.3512,0.4878,False,0,1,20,20,0.0,0.0,,0.4762,0.4878,0.0476,0.1596,0.0985,0.0,0.0,20.0,21.0,,0.0,,0.5,0.5122,0.0
