event,asset,window_start,label,prob_EXP,loss_EXP,prob_AT,loss_AT,prob_DAG,loss_DAG,prob_DSV,loss_DSV,prob_IF,loss_IF,prob_OMNI,loss_OMNI,prob_OCS,loss_OCS,prob_TR,loss_TR,prob_USAD,loss_USAD
Iran 2025,USOIL,2343,1,0.037383177570093455,0.9266311468250502,0.056074766355140186,0.8909948467115032,0.8317757009345794,0.028299414796052063,0.04672897196261682,0.9087256528954494,0.5887850467289719,0.1690977377936938,0.037383177570093455,0.9266311468250502,0.018691588785046728,0.9629661979212158,0.056074766355140186,0.8909948467115032,0.056074766355140186,0.8909948467115032
Iran 2025,USOIL,2344,1,0.06542056074766354,0.8734387282732117,0.04672897196261682,0.9087256528954494,0.7476635514018691,0.06367368329111714,0.028037383177570093,0.9447113285003057,0.4205607476635514,0.33574984714822265,0.056074766355140186,0.8909948467115032,0.009345794392523364,0.9813957550877805,0.028037383177570093,0.9447113285003057,0.102803738317757,0.8049611319765918
Iran 2025,USOIL,2345,1,0.07476635514018691,0.8560572975805747,0.028037383177570093,0.9447113285003057,0.7289719626168224,0.07345619704777712,0.06542056074766354,0.8734387282732117,0.48598130841121495,0.26421521530264647,0.028037383177570093,0.9447113285003057,0.056074766355140186,0.8909948467115032,0.009345794392523364,0.9813957550877805,0.11214953271028037,0.7882784522665734
Iran 2025,USOIL,2346,1,0.056074766355140186,0.8909948467115032,0.009345794392523364,0.9813957550877805,0.6822429906542056,0.10096951698838329,0.037383177570093455,0.9266311468250502,0.3364485981308411,0.44030046292252595,0.018691588785046728,0.9629661979212158,0.04672897196261682,0.9087256528954494,0.018691588785046728,0.9629661979212158,0.2336448598130841,0.5873002008909075
Iran 2025,USOIL,2347,1,0.028037383177570093,0.9447113285003057,0.037383177570093455,0.9266311468250502,0.616822429906542,0.1468250502227269,0.009345794392523364,0.9813957550877805,0.411214953271028,0.34666783125163764,0.009345794392523364,0.9813957550877805,0.09345794392523364,0.8218184994322648,0.14953271028037382,0.7232946108830465,0.3644859813084112,0.40387806795353315
Iran 2025,USOIL,2348,1,0.04672897196261682,0.9087256528954494,0.018691588785046728,0.9629661979212158,0.48598130841121495,0.26421521530264647,0.102803738317757,0.8049611319765918,0.27102803738317754,0.5314001222814221,0.04672897196261682,0.9087256528954494,0.07476635514018691,0.8560572975805747,0.037383177570093455,0.9266311468250502,0.411214953271028,0.34666783125163764
Iran 2025,USOIL,2349,1,0.102803738317757,0.8049611319765918,0.27102803738317754,0.5314001222814221,0.719626168224299,0.07860948554458906,0.18691588785046728,0.6611057734299939,0.6542056074766355,0.1195737619006027,0.1588785046728972,0.7074853699013014,0.794392523364486,0.04227443444842345,0.7102803738317757,0.08393746178705566,0.34579439252336447,0.4279849768538738
Iran 2025,USOIL,2350,1,0.2897196261682243,0.5044982094506072,0.24299065420560748,0.5730631496200541,0.7102803738317757,0.08393746178705566,0.24299065420560748,0.5730631496200541,0.9065420560747663,0.008734387282732119,0.7570093457943925,0.05904445803126912,0.9626168224299065,0.001397501965237139,0.9626168224299065,0.001397501965237139,0.29906542056074764,0.4913092846536815
Iran 2025,USOIL,2351,1,0.3177570093457944,0.46545549829679445,0.21495327102803738,0.616298366669578,0.8504672897196262,0.022360031443794223,0.616822429906542,0.1468250502227269,0.9345794392523364,0.004279849768538738,0.794392523364486,0.04227443444842345,0.9252336448598131,0.005590007860948556,0.9906542056074766,8.734387282732118e-05,0.2803738317757009,0.5178618219931871
Iran 2025,USOIL,2352,1,0.45794392523364486,0.29382478819110847,0.11214953271028037,0.7882784522665734,0.5887850467289719,0.1690977377936938,0.14953271028037382,0.7232946108830465,0.9252336448598131,0.005590007860948556,0.9158878504672897,0.007074853699013016,0.8785046728971962,0.01476111450781728,0.9439252336448598,0.0031443794217835626,0.27102803738317754,0.5314001222814221
