event,asset,window_start,label,prob_EXP,loss_EXP,prob_AT,loss_AT,prob_DAG,loss_DAG,prob_DSV,loss_DSV,prob_IF,loss_IF,prob_OMNI,loss_OMNI,prob_OCS,loss_OCS,prob_TR,loss_TR,prob_USAD,loss_USAD
Russia--Ukraine,EURUSD,1546,0,0.6564885496183206,0.4309772157799661,0.8702290076335878,0.757298525726939,0.8625954198473282,0.7440708583415885,0.8931297709923665,0.797680787832877,0.8702290076335878,0.757298525726939,0.1984732824427481,0.0393916438435988,0.1221374045801526,0.0149175455975758,0.900763358778626,0.8113746285181516,0.0763358778625954,0.005827166249053
Russia--Ukraine,EURUSD,1547,0,0.7786259541984732,0.606258376551483,0.8396946564885496,0.7050871161354233,0.8702290076335878,0.757298525726939,0.9389312977099236,0.8815919818192414,0.8320610687022901,0.6923256220499971,0.2137404580152671,0.0456849833925761,0.1450381679389313,0.0210360701590816,0.9083969465648856,0.8251850125284074,0.0534351145038167,0.002855311462036
Russia--Ukraine,EURUSD,1548,0,0.8396946564885496,0.7050871161354233,0.8320610687022901,0.6923256220499971,0.8473282442748091,0.7179651535458306,0.8854961832061069,0.7841034904725832,0.8396946564885496,0.7050871161354233,0.2519083969465648,0.0634578404521881,0.1068702290076335,0.011421245848144,0.9770992366412212,0.9547229182448574,0.099236641221374,0.0098479109608997
Russia--Ukraine,EURUSD,1549,0,0.8015267175572519,0.6424450789581027,0.900763358778626,0.8113746285181516,0.7480916030534351,0.5596410465590583,0.8778625954198473,0.7706427364372705,0.9236641221374046,0.8531554105238622,0.2595419847328244,0.0673620418390536,0.1374045801526717,0.018880018646932,0.7404580152671756,0.5482780723734049,0.0916030534351145,0.0083911193986364
Russia--Ukraine,EURUSD,1550,0,0.8778625954198473,0.7706427364372705,0.9618320610687024,0.925120913699668,0.8778625954198473,0.7706427364372705,0.9847328244274808,0.969698735504924,0.900763358778626,0.8113746285181516,0.6259541984732825,0.3918186585863295,0.3129770992366412,0.0979546646465823,0.7862595419847328,0.6182040673620418,0.0839694656488549,0.0070508711613542
Russia--Ukraine,EURUSD,1551,0,0.4122137404580153,0.169920167822388,0.4122137404580153,0.169920167822388,0.9694656488549618,0.939863644309772,0.3282442748091603,0.1077443039449915,0.1145038167938931,0.0131111240603694,0.1603053435114503,0.0256978031583241,0.7175572519083969,0.5148884097663305,0.3893129770992366,0.1515645941378707,0.9923664122137404,0.9847910960899714
Russia--Ukraine,EURUSD,1552,0,0.4580152671755725,0.209777984965911,0.549618320610687,0.302080298350912,0.9236641221374046,0.8531554105238622,0.0687022900763358,0.004720004661733,0.2595419847328244,0.0673620418390536,0.2290076335877862,0.0524444962414777,0.7862595419847328,0.6182040673620418,0.4351145038167939,0.1893246314317347,0.9847328244274808,0.969698735504924
Russia--Ukraine,EURUSD,1553,0,0.5343511450381679,0.2855311462036012,0.5954198473282443,0.3545247945923897,0.9923664122137404,0.9847910960899714,0.5572519083969466,0.3105296894120389,0.2671755725190839,0.0713827865509003,0.1679389312977099,0.0282034846454169,0.6870229007633588,0.4720004661733,0.5419847328244275,0.293747450614766,0.9541984732824428,0.9104947264145448
Russia--Ukraine,EURUSD,1554,0,0.5572519083969466,0.3105296894120389,0.5648854961832062,0.319095623798147,0.9083969465648856,0.8251850125284074,0.6183206106870229,0.3823203776003729,0.3969465648854962,0.1575665753743954,0.2213740458015267,0.0490064681545364,0.732824427480916,0.5370316415127323,0.5572519083969466,0.3105296894120389,0.9694656488549618,0.939863644309772
Russia--Ukraine,EURUSD,1555,0,0.5267175572519084,0.2774313851174174,0.5190839694656488,0.2694481673562146,0.7709923664122137,0.5944292290659052,0.6870229007633588,0.4720004661733,0.2366412213740458,0.0559990676534001,0.2977099236641221,0.0886311986480974,0.7404580152671756,0.5482780723734049,0.4885496183206106,0.2386807295612143,0.9770992366412212,0.9547229182448574
