kind,reduce,episode,asset,seed,auc,n_train,n_test,prevalence,epochs,window,signal
linear,mean,chinese,USOIL,0,0.47291280148423004,1764,147,0.47619047619047616,40,32,100
linear,max,chinese,USOIL,0,0.6094619666048238,1764,147,0.47619047619047616,40,32,100
linear,mean,chinese,USOIL,1,0.47717996289424863,1764,147,0.47619047619047616,40,32,100
linear,max,chinese,USOIL,1,0.6021335807050093,1764,147,0.47619047619047616,40,32,100
linear,mean,chinese,USOIL,2,0.4923933209647495,1764,147,0.47619047619047616,40,32,100
linear,max,chinese,USOIL,2,0.6120593692022264,1764,147,0.47619047619047616,40,32,100
time_index,position,chinese,GOLD,0,0.18181818181818182,1763,147,0.47619047619047616,0,32,100
lstm,mean,chinese,GOLD,0,0.4818181818181818,1763,147,0.47619047619047616,40,32,100
lstm,max,chinese,GOLD,0,0.44823747680890536,1763,147,0.47619047619047616,40,32,100
lstm,mean,chinese,GOLD,1,0.4701298701298701,1763,147,0.47619047619047616,40,32,100
lstm,max,chinese,GOLD,1,0.4452690166975881,1763,147,0.47619047619047616,40,32,100
lstm,mean,chinese,GOLD,2,0.4749536178107607,1763,147,0.47619047619047616,40,32,100
lstm,max,chinese,GOLD,2,0.44434137291280146,1763,147,0.47619047619047616,40,32,100
gru,mean,chinese,GOLD,0,0.5120593692022264,1763,147,0.47619047619047616,40,32,100
gru,max,chinese,GOLD,0,0.4642857142857143,1763,147,0.47619047619047616,40,32,100
gru,mean,chinese,GOLD,1,0.5437847866419295,1763,147,0.47619047619047616,40,32,100
gru,max,chinese,GOLD,1,0.48126159554730985,1763,147,0.47619047619047616,40,32,100
gru,mean,chinese,GOLD,2,0.4998144712430427,1763,147,0.47619047619047616,40,32,100
gru,max,chinese,GOLD,2,0.4820964749536178,1763,147,0.47619047619047616,40,32,100
linear,mean,chinese,GOLD,0,0.6330241187384045,1763,147,0.47619047619047616,40,32,100
linear,max,chinese,GOLD,0,0.6839517625231911,1763,147,0.47619047619047616,40,32,100
linear,mean,chinese,GOLD,1,0.5437847866419295,1763,147,0.47619047619047616,40,32,100
linear,max,chinese,GOLD,1,0.6953617810760668,1763,147,0.47619047619047616,40,32,100
linear,mean,chinese,GOLD,2,0.6194805194805195,1763,147,0.47619047619047616,40,32,100
linear,max,chinese,GOLD,2,0.6968460111317254,1763,147,0.47619047619047616,40,32,100
time_index,position,chinese,EURUSD,0,0.19753086419753085,1832,152,0.46710526315789475,0,32,100
lstm,mean,chinese,EURUSD,0,0.8480264301860546,1832,152,0.46710526315789475,40,32,100
lstm,max,chinese,EURUSD,0,0.8948009041905756,1832,152,0.46710526315789475,40,32,100
lstm,mean,chinese,EURUSD,1,0.8466353677621283,1832,152,0.46710526315789475,40,32,100
lstm,max,chinese,EURUSD,1,0.8968874978264649,1832,152,0.46710526315789475,40,32,100
lstm,mean,chinese,EURUSD,2,0.7925578160319945,1832,152,0.46710526315789475,40,32,100
lstm,max,chinese,EURUSD,2,0.7638671535385151,1832,152,0.46710526315789475,40,32,100
gru,mean,chinese,EURUSD,0,0.8723700226047644,1832,152,0.46710526315789475,40,32,100
gru,max,chinese,EURUSD,0,0.730829420970266,1832,152,0.46710526315789475,40,32,100
gru,mean,chinese,EURUSD,1,0.9309685272126587,1832,152,0.46710526315789475,40,32,100
