episode,asset,seed,mapping,window,auc,prauc,n_train,n_test,prevalence,n_eff,epochs
iran2025,USOIL,2,exponential,32,0.5455909943714822,0.45959719035931823,2323,106,0.3867924528301887,3.3125,20
iran2025,USOIL,3,exponential,32,0.524953095684803,0.5021649569395863,2323,106,0.3867924528301887,3.3125,20
iran2025,USOIL,4,exponential,32,0.5808630393996248,0.5494857749390865,2323,106,0.3867924528301887,3.3125,20
iran2025,GOLD,0,exponential,32,0.6202626641651032,0.4181912886748632,2322,106,0.3867924528301887,3.3125,20
iran2025,GOLD,1,exponential,32,0.5519699812382739,0.37814497036616707,2322,106,0.3867924528301887,3.3125,20
iran2025,GOLD,2,exponential,32,0.5703564727954972,0.38557927747018556,2322,106,0.3867924528301887,3.3125,20
iran2025,GOLD,3,exponential,32,0.5827392120075047,0.39270635573185303,2322,106,0.3867924528301887,3.3125,20
iran2025,GOLD,4,exponential,32,0.5575984990619137,0.3799499103269787,2322,106,0.3867924528301887,3.3125,20
iran2025,EURUSD,0,exponential,32,0.1663003663003663,0.2570851052832848,2408,107,0.3925233644859813,3.34375,20
iran2025,EURUSD,1,exponential,32,0.18534798534798536,0.2773163271162713,2408,107,0.3925233644859813,3.34375,20
iran2025,EURUSD,2,exponential,32,0.16043956043956045,0.261319500815374,2408,107,0.3925233644859813,3.34375,20
iran2025,EURUSD,3,exponential,32,0.16080586080586082,0.265137269916391,2408,107,0.3925233644859813,3.34375,20
iran2025,EURUSD,4,exponential,32,0.12380952380952381,0.2481737833625204,2408,107,0.3925233644859813,3.34375,20
iran2026,USOIL,0,exponential,32,0.07602339181286549,0.31972671398437236,2575,37,0.4864864864864865,1.15625,20
iran2026,USOIL,1,exponential,32,0.008771929824561403,0.31031882014055917,2575,37,0.4864864864864865,1.15625,20
iran2026,USOIL,2,exponential,32,0.011695906432748537,0.31052306850657224,2575,37,0.4864864864864865,1.15625,20
iran2026,USOIL,3,exponential,32,0.023391812865497075,0.3116804759139796,2575,37,0.4864864864864865,1.15625,20
iran2026,USOIL,4,exponential,32,0.008771929824561403,0.31031882014055917,2575,37,0.4864864864864865,1.15625,20
